,Id,geometry,Nearest_Node_ID,Nearest_Cooling_Center,Cooling_Center_ID,Driving_Time_Minutes
0,0,"POLYGON Z ((-93.53220000024885 41.59569999948144 0, -93.53230000007898 41.59569999948144 0, -93.53230000007898 41.595799999311566 0, -93.53220000024885 41.595799999311566 0, -93.53220000024885 41.59569999948144 0))",160849585.0,Pleasant Hill Public Library,160818817.0,20.0
1,0,"POLYGON Z ((-93.52960000000894 41.58100000023842 0, -93.52960000000894 41.58090000040829 0, -93.52969999983907 41.58090000040829 0, -93.52969999983907 41.58100000023842 0, -93.52960000000894 41.58100000023842 0))",160721554.0,Pleasant Hill Public Library,160818817.0,26.0
2,0,"POLYGON Z ((-93.53139999974519 41.596300000324845 0, -93.53149999957532 41.59620000049472 0, -93.53160000033677 41.596300000324845 0, -93.53149999957532 41.596300000324845 0, -93.53139999974519 41.596300000324845 0))",160849585.0,Pleasant Hill Public Library,160818817.0,20.0
3,0,"POLYGON Z ((-93.53639999963343 41.59869999997318 0, -93.53639999963343 41.59869999997318 0, -93.53650000039488 41.59869999997318 0, -93.53650000039488 41.59869999997318 0, -93.53639999963343 41.59869999997318 0))",160895527.0,Fourmile Community Recreation Center ,160848580.0,32.0
4,0,"POLYGON Z ((-93.54789999965578 41.590099999681115 0, -93.54800000041723 41.590099999681115 0, -93.54800000041723 41.59019999951124 0, -93.54789999965578 41.59019999951124 0, -93.54789999965578 41.590099999681115 0))",160812076.0,Fourmile Community Recreation Center ,160848580.0,42.0
5,0,"POLYGON Z ((-93.54769999999553 41.59750000014901 0, -93.54769999999553 41.59720000065863 0, -93.54810000024736 41.59720000065863 0, -93.54810000024736 41.59730000048876 0, -93.54820000007749 41.59730000048876 0, -93.54820000007749 41.597400000318885 0, -93.54810000024736 41.597400000318885 0, -93.54810000024736 41.59750000014901 0, -93.54769999999553 41.59750000014901 0))",160863491.0,Fourmile Community Recreation Center ,160848580.0,34.0
6,0,"POLYGON Z ((-93.55499999970198 41.58060000091791 0, -93.55510000046343 41.58060000091791 0, -93.55510000046343 41.580800000578165 0, -93.55499999970198 41.580800000578165 0, -93.55499999970198 41.58070000074804 0, -93.55499999970198 41.58070000074804 0, -93.55499999970198 41.58060000091791 0))",160834150.0,East Side Library,160775687.0,50.0
7,0,"POLYGON Z ((-93.55350000038743 41.58960000053048 0, -93.55350000038743 41.58960000053048 0, -93.55370000004768 41.58960000053048 0, -93.55370000004768 41.58960000053048 0, -93.55350000038743 41.58960000053048 0))",160805037.0,East Side Library,160775687.0,48.0
8,0,"POLYGON Z ((-93.55520000029355 41.58339999988675 0, -93.55530000012368 41.58339999988675 0, -93.5553999999538 41.583599999547005 0, -93.55520000029355 41.583599999547005 0, -93.55520000029355 41.58339999988675 0))",160916402.0,East Side Library,160775687.0,44.0
9,0,"POLYGON Z ((-93.56060000043362 41.59999999962747 0, -93.56060000043362 41.59999999962747 0, -93.56070000026375 41.59999999962747 0, -93.56070000026375 41.59999999962747 0, -93.56060000043362 41.59999999962747 0))",160910825.0,East Side Library,160775687.0,30.0
